"","Country","Happiness_Rank","Happiness_Score","gdp_billions","code"
"1","Denmark",1,7.526,347.2,"DNK"
"2","Switzerland",2,7.509,679,"CHE"
"3","Iceland",3,7.501,16.2,"ISL"
"4","Norway",4,7.498,511.6,"NOR"
"5","Finland",5,7.413,276.3,"FIN"
"6","Canada",6,7.404,1794,"CAN"
"7","Netherlands",7,7.339,880.4,"NLD"
"8","New Zealand",8,7.334,201,"NZL"
"9","Australia",9,7.313,1483,"AUS"
"10","Sweden",10,7.291,559.1,"SWE"
"11","Israel",11,7.267,305,"ISR"
"12","Austria",12,7.119,436.1,"AUT"
"13","United States",13,7.104,17420,"USA"
"14","Costa Rica",14,7.087,50.46,"CRI"
"15","Puerto Rico",15,7.039,93.52,"PRI"
"16","Germany",16,6.994,3820,"DEU"
"17","Brazil",17,6.952,2244,"BRA"
"18","Belgium",18,6.929,527.8,"BEL"
"19","Ireland",19,6.907,245.8,"IRL"
"20","Luxembourg",20,6.871,63.93,"LUX"
"21","Mexico",21,6.778,1296,"MEX"
"22","Singapore",22,6.739,307.9,"SGP"
"23","United Kingdom",23,6.725,2848,"GBR"
"24","Chile",24,6.705,264.1,"CHL"
"25","Panama",25,6.701,44.69,"PAN"
"26","Argentina",26,6.65,536.2,"ARG"
"27","Czech Republic",27,6.596,205.6,"CZE"
"28","United Arab Emirates",28,6.573,416.4,"ARE"
"29","Uruguay",29,6.545,55.6,"URY"
"30","Malta",30,6.488,10.57,"MLT"
"31","Colombia",31,6.481,400.1,"COL"
"32","France",32,6.478,2902,"FRA"
"33","Thailand",33,6.474,373.8,"THA"
"34","Saudi Arabia",34,6.379,777.9,"SAU"
"35","Taiwan",34,6.379,529.5,"TWN"
"36","Qatar",36,6.375,212,"QAT"
"37","Spain",37,6.361,1400,"ESP"
"38","Algeria",38,6.355,227.8,"DZA"
"39","Guatemala",39,6.324,58.3,"GTM"
"40","Suriname",40,6.269,5.27,"SUR"
"41","Kuwait",41,6.239,179.3,"KWT"
"42","Bahrain",42,6.218,34.05,"BHR"
"43","Trinidad and Tobago",43,6.168,29.63,"TTO"
"44","Venezuela",44,6.084,209.2,"VEN"
"45","Slovakia",45,6.078,99.75,"SVK"
"46","El Salvador",46,6.068,25.14,"SLV"
"47","Malaysia",47,6.005,336.9,"MYS"
"48","Nicaragua",48,5.992,11.85,"NIC"
"49","Uzbekistan",49,5.987,63.08,"UZB"
"50","Italy",50,5.977,2129,"ITA"
"51","Ecuador",51,5.976,100.5,"ECU"
"52","Belize",52,5.956,1.67,"BLZ"
"53","Japan",53,5.921,4770,"JPN"
"54","Kazakhstan",54,5.919,225.6,"KAZ"
"55","Moldova",55,5.897,7.74,"MDA"
"56","Russia",56,5.856,2057,"RUS"
"57","Poland",57,5.835,552.2,"POL"
"58","South Korea",57,5.835,NA,NA
"59","Bolivia",59,5.822,34.08,"BOL"
"60","Lithuania",60,5.813,48.72,"LTU"
